Employee Name,Contract Type,Start Date,End Date,Job Position,Employer Details
177067,Employee 1,Full-time,3/1/2030 12:00:00 AM,3/1/2031 12:00:00 AM,Tailor
173859,Employee 2,Contract,3/1/2032 12:00:00 AM,3/1/2034 12:00:00 AM,Tailor
137415,Employee 3,Part-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
101879,Employee 4,Contract,3/1/2028 12:00:00 AM,3/1/2031 12:00:00 AM,Tailor
169429,Employee 5,Part-time,3/1/2030 12:00:00 AM,3/1/2031 12:00:00 AM,Tailor
117500,Employee 6,Part-time,3/1/2030 12:00:00 AM,3/1/2031 12:00:00 AM,Salesperson
108687,Employee 7,Full-time,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
168345,Employee 8,Full-time,3/1/2032 12:00:00 AM,3/1/2035 12:00:00 AM,Manager
124537,Employee 9,Contract,3/1/2030 12:00:00 AM,3/1/2032 12:00:00 AM,Salesperson
195690,Employee 10,Part-time,3/1/2031 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
121615,Employee 11,Part-time,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
120325,Employee 12,Full-time,3/1/2031 12:00:00 AM,3/1/2036 12:00:00 AM,Salesperson
163317,Employee 13,Contract,3/1/2032 12:00:00 AM,3/1/2036 12:00:00 AM,Tailor
128546,Employee 14,Contract,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
157342,Employee 15,Contract,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
196664,Employee 16,Full-time,3/1/2029 12:00:00 AM,3/1/2032 12:00:00 AM,Salesperson
158458,Employee 17,Part-time,3/1/2030 12:00:00 AM,3/1/2035 12:00:00 AM,Manager
106361,Employee 18,Part-time,3/1/2028 12:00:00 AM,3/1/2032 12:00:00 AM,Salesperson
108429,Employee 19,Full-time,3/1/2029 12:00:00 AM,3/1/2030 12:00:00 AM,Designer
140282,Employee 20,Part-time,3/1/2028 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
146887,Employee 21,Contract,3/1/2029 12:00:00 AM,3/1/2032 12:00:00 AM,Tailor
120672,Employee 22,Full-time,3/1/2032 12:00:00 AM,3/1/2036 12:00:00 AM,Salesperson
137189,Employee 23,Part-time,3/1/2029 12:00:00 AM,3/1/2031 12:00:00 AM,Designer
174902,Employee 24,Part-time,3/1/2028 12:00:00 AM,3/1/2032 12:00:00 AM,Tailor
174115,Employee 25,Full-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
149086,Employee 26,Full-time,3/1/2032 12:00:00 AM,3/1/2034 12:00:00 AM,Salesperson
188189,Employee 27,Contract,3/1/2028 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
192848,Employee 28,Contract,3/1/2029 12:00:00 AM,3/1/2030 12:00:00 AM,Manager
155071,Employee 29,Contract,3/1/2032 12:00:00 AM,3/1/2034 12:00:00 AM,Salesperson
129717,Employee 30,Full-time,3/1/2029 12:00:00 AM,3/1/2031 12:00:00 AM,Tailor
133079,Employee 31,Contract,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Manager
168476,Employee 32,Full-time,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Salesperson
154471,Employee 33,Contract,3/1/2032 12:00:00 AM,3/1/2036 12:00:00 AM,Designer
131249,Employee 34,Full-time,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
132625,Employee 35,Full-time,3/1/2032 12:00:00 AM,3/1/2036 12:00:00 AM,Tailor
117203,Employee 36,Full-time,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Manager
150535,Employee 37,Part-time,3/1/2032 12:00:00 AM,3/1/2035 12:00:00 AM,Designer
187013,Employee 38,Full-time,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Salesperson
168468,Employee 39,Full-time,3/1/2028 12:00:00 AM,3/1/2030 12:00:00 AM,Salesperson
112884,Employee 40,Part-time,3/1/2028 12:00:00 AM,3/1/2030 12:00:00 AM,Salesperson
127773,Employee 41,Contract,3/1/2031 12:00:00 AM,3/1/2032 12:00:00 AM,Manager
125682,Employee 42,Contract,3/1/2029 12:00:00 AM,3/1/2032 12:00:00 AM,Salesperson
180192,Employee 43,Contract,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
186241,Employee 44,Contract,3/1/2029 12:00:00 AM,3/1/2030 12:00:00 AM,Manager
188611,Employee 45,Full-time,3/1/2029 12:00:00 AM,3/1/2031 12:00:00 AM,Tailor
121837,Employee 46,Part-time,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Salesperson
130102,Employee 47,Part-time,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
109158,Employee 48,Contract,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
196142,Employee 49,Full-time,3/1/2030 12:00:00 AM,3/1/2032 12:00:00 AM,Manager
184367,Employee 50,Contract,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Manager
169515,Employee 51,Part-time,3/1/2028 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
114217,Employee 52,Contract,3/1/2028 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
159237,Employee 53,Part-time,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
117609,Employee 54,Part-time,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
190470,Employee 55,Full-time,3/1/2030 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
190443,Employee 56,Contract,3/1/2029 12:00:00 AM,3/1/2030 12:00:00 AM,Designer
151204,Employee 57,Part-time,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
181861,Employee 58,Part-time,3/1/2031 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
143224,Employee 59,Part-time,3/1/2028 12:00:00 AM,3/1/2031 12:00:00 AM,Manager
124478,Employee 60,Part-time,3/1/2028 12:00:00 AM,3/1/2029 12:00:00 AM,Tailor
185897,Employee 61,Full-time,3/1/2029 12:00:00 AM,3/1/2034 12:00:00 AM,Designer
156526,Employee 62,Part-time,3/1/2028 12:00:00 AM,3/1/2031 12:00:00 AM,Salesperson
130281,Employee 63,Contract,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
119125,Employee 64,Full-time,3/1/2031 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
132456,Employee 65,Contract,3/1/2030 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
148945,Employee 66,Contract,3/1/2030 12:00:00 AM,3/1/2035 12:00:00 AM,Salesperson
159253,Employee 67,Full-time,3/1/2028 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
114044,Employee 68,Full-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
180570,Employee 69,Part-time,3/1/2028 12:00:00 AM,3/1/2032 12:00:00 AM,Tailor
171578,Employee 70,Contract,3/1/2029 12:00:00 AM,3/1/2033 12:00:00 AM,Tailor
118850,Employee 71,Part-time,3/1/2031 12:00:00 AM,3/1/2034 12:00:00 AM,Salesperson
176452,Employee 72,Contract,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Manager
103006,Employee 73,Contract,3/1/2028 12:00:00 AM,3/1/2029 12:00:00 AM,Manager
187247,Employee 74,Part-time,3/1/2031 12:00:00 AM,3/1/2032 12:00:00 AM,Manager
129380,Employee 75,Full-time,3/1/2028 12:00:00 AM,3/1/2032 12:00:00 AM,Tailor
116421,Employee 76,Full-time,3/1/2032 12:00:00 AM,3/1/2033 12:00:00 AM,Designer
159749,Employee 77,Full-time,3/1/2031 12:00:00 AM,3/1/2032 12:00:00 AM,Designer
104250,Employee 78,Part-time,3/1/2032 12:00:00 AM,3/1/2035 12:00:00 AM,Salesperson
195251,Employee 79,Contract,3/1/2031 12:00:00 AM,3/1/2032 12:00:00 AM,Designer
